fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
6,4,0,0,48.5,33.8
6,10,0,0,58.2,121.4
6,6,0,0,180.7,179.9
6,5,0,0,45.6,64.8
6,8,0,0,43.5,82.6
6,0,0,0,163.7,110.5
6,11,0,0,148.3,131.2
6,16,0,0,35.0,22.1
6,7,0,0,99.5,46.7
6,14,0,0,5.9,11.3
6,15,0,0,26.9,3.8
5,1,0,0,5.8,8.9
5,3,0,0,120.3,127.4
5,9,0,0,26.7,134.1
5,2,0,0,18.2,33.7
5,13,0,0,5.1,49.9
5,12,0,0,112.9,66.3
5,4,0,0,47.0,21.7
5,10,0,0,45.7,75.8
5,6,0,0,62.6,104.5
5,5,0,0,154.3,179.4
5,8,0,0,33.5,56.6
5,0,0,0,115.6,81.0
5,11,0,0,131.8,109.3
5,16,0,0,33.8,8.9
5,7,0,0,106.5,51.1
5,14,0,0,4.2,8.8
5,15,0,0,33.1,12.8
8,1,0,0,3.3,10.6
8,3,0,0,72.7,90.6
8,9,0,0,30.0,70.5
8,2,0,0,17.7,24.7
8,13,0,0,1.7,20.8
8,12,0,0,96.9,64.4
8,4,0,0,28.2,18.8
8,10,0,0,33.7,46.9
8,6,0,0,31.7,57.8
8,5,0,0,14.8,35.2
8,8,0,0,44.1,61.6
8,0,0,0,55.9,48.2
8,11,0,0,81.5,60.2
8,16,0,0,20.9,8.9
8,7,0,0,36.6,23.0
8,14,0,0,4.5,1.3
8,15,0,0,8.6,1.0
0,1,0,0,3.8,5.8
0,3,0,0,117.0,143.7
0,9,0,0,23.3,134.2
0,2,0,0,15.5,40.4
0,13,0,0,5.4,35.9
0,12,0,0,149.3,113.4
0,4,0,0,58.0,27.3
0,10,0,0,42.9,122.7
0,6,0,0,84.8,146.5
0,5,0,0,41.1,76.5
0,8,0,0,51.6,80.1
0,0,0,0,307.9,198.0
0,11,0,0,195.6,164.3
0,16,0,0,54.0,24.1
0,7,0,0,117.2,68.8
0,14,0,0,8.7,10.3
0,15,0,0,44.5,10.5
11,1,0,0,7.9,12.9
11,3,0,0,127.9,173.7
11,9,0,0,26.6,132.2
11,2,0,0,19.9,37.7
11,13,0,0,0.5,36.3
11,12,0,0,147.2,104.9
11,4,0,0,64.0,27.6
11,10,0,0,87.4,183.8
11,6,0,0,74.2,116.1
11,5,0,0,25.5,68.7
11,8,0,0,57.1,87.3
11,0,0,0,124.0,109.0
11,11,0,0,427.4,295.6
11,16,0,0,88.7,38.1
11,7,0,0,81.9,36.9
11,14,0,0,6.8,7.5
11,15,0,0,29.9,3.7
16,1,0,0,2.3,4.7
16,3,0,0,24.4,26.3
16,9,0,0,3.1,34.2
16,2,0,0,3.0,10.4
16,13,0,0,0.0,10.3
16,12,0,0,27.9,19.6
16,4,0,0,9.5,7.3
16,10,0,0,24.8,44.6
16,6,0,0,19.2,30.1
16,5,0,0,10.0,30.1
16,8,0,0,9.0,12.5
16,0,0,0,40.8,35.4
16,11,0,0,69.9,70.1
16,16,0,0,69.6,20.7
16,7,0,0,23.9,11.3
16,14,0,0,0.7,2.7
16,15,0,0,17.7,2.3
7,1,0,0,3.8,5.6
7,3,0,0,41.8,43.2
7,9,0,0,11.1,61.6
7,2,0,0,7.1,15.1
7,13,0,0,4.0,18.2
7,12,0,0,64.4,35.1
7,4,0,0,20.3,10.3
7,10,0,0,26.1,56.1
7,6,0,0,34.9,56.4
7,5,0,0,25.5,48.4
7,8,0,0,25.5,50.9
7,0,0,0,71.4,61.2
7,11,0,0,92.4,93.8
7,16,0,0,31.4,12.2
7,7,0,0,89.0,50.0
7,14,0,0,5.2,2.5
7,15,0,0,30.6,3.7
14,1,0,0,11.6,22.6
14,3,0,0,210.8,223.3
14,9,0,0,50.1,271.1
14,2,0,0,29.3,69.1
14,13,0,0,8.9,104.6
14,12,0,0,157.1,120.3
14,4,0,0,81.6,58.2
14,10,0,0,69.7,213.5
14,6,0,0,118.1,251.4
14,5,0,0,94.2,211.3
14,8,0,0,62.5,146.2
14,0,0,0,250.1,238.9
14,11,0,0,294.7,341.8
14,16,0,0,89.1,58.3
14,7,0,0,167.6,121.5
14,14,0,0,377.7,414.0
14,15,0,0,746.3,103.1
15,1,0,0,1.5,3.1
15,3,0,0,23.6,30.7
15,9,0,0,7.3,35.9
15,2,0,0,3.2,11.7
15,13,0,0,1.5,16.8
15,12,0,0,27.3,33.2
15,4,0,0,16.5,13.4
15,10,0,0,17.4,65.6
15,6,0,0,28.2,58.3
15,5,0,0,14.6,42.8
15,8,0,0,20.5,34.9
15,0,0,0,64.4,74.7
15,11,0,0,81.5,104.9
15,16,0,0,19.1,23.7
15,7,0,0,40.8,40.1
15,14,0,0,11.2,32.6
15,15,0,0,239.3,41.5
1,1,1,0,0.9,0.0
1,3,1,0,5.0,3.8
1,9,1,0,1.1,2.8
1,2,1,0,2.1,1.7
1,13,1,0,0.0,1.1
1,12,1,0,2.1,0.9
1,4,1,0,1.5,1.6
1,10,1,0,0.0,2.5
1,6,1,0,0.0,0.8
1,5,1,0,0.9,1.4
1,8,1,0,0.8,2.7
1,0,1,0,2.3,2.6
1,11,1,0,1.9,0.0
1,16,1,0,1.6,0.0
1,7,1,0,0.9,0.0
1,14,1,0,0.7,0.0
1,15,1,0,0.0,0.0
3,1,1,0,0.0,3.3
3,3,1,0,33.9,26.4
3,9,1,0,5.6,18.0
3,2,1,0,4.0,7.4
3,13,1,0,0.8,3.1
3,12,1,0,11.6,11.9
3,4,1,0,5.1,1.7
3,10,1,0,5.4,6.3
3,6,1,0,4.3,8.2
3,5,1,0,1.5,4.0
3,8,1,0,8.6,4.5
3,0,1,0,8.5,8.3
3,11,1,0,9.5,13.0
3,16,1,0,2.4,1.6
3,7,1,0,4.6,2.5
3,14,1,0,0.8,0.6
3,15,1,0,4.2,0.0
9,1,1,0,1.3,1.3
9,3,1,0,14.0,16.9
9,9,1,0,1.5,16.0
9,2,1,0,6.8,6.4
9,13,1,0,0.6,6.0
9,12,1,0,10.3,8.0
9,4,1,0,6.3,1.5
9,10,1,0,2.3,3.3
9,6,1,0,4.4,3.1
9,5,1,0,1.6,3.3
9,8,1,0,3.2,3.1
9,0,1,0,7.6,4.0
9,11,1,0,3.4,4.3
9,16,1,0,2.5,0.0
9,7,1,0,5.7,1.5
9,14,1,0,0.0,0.7
9,15,1,0,1.6,0.8
2,1,1,0,0.0,0.8
2,3,1,0,4.8,2.4
2,9,1,0,3.7,8.0
2,2,1,0,3.4,3.3
2,13,1,0,0.0,2.3
2,12,1,0,3.2,1.6
2,4,1,0,0.7,0.0
2,10,1,0,0.8,1.7
2,6,1,0,0.6,1.5
2,5,1,0,0.4,1.3
2,8,1,0,1.7,1.6
2,0,1,0,3.7,1.7
2,11,1,0,2.4,2.2
2,16,1,0,0.0,0.0
2,7,1,0,1.5,2.2
2,14,1,0,0.0,0.8
2,15,1,0,0.0,1.6
13,1,1,0,1.5,1.5
13,3,1,0,13.3,13.3
13,9,1,0,6.5,16.8
13,2,1,0,4.0,6.3
13,13,1,0,3.0,8.3
13,12,1,0,10.4,5.9
13,4,1,0,5.0,3.2
13,10,1,0,1.2,5.9
13,6,1,0,6.5,6.4
13,5,1,0,3.7,6.0
13,8,1,0,4.9,6.2
13,0,1,0,7.6,7.0
13,11,1,0,18.1,8.3
13,16,1,0,3.0,0.9
13,7,1,0,7.3,1.5
13,14,1,0,0.4,1.7
13,15,1,0,2.6,0.6
12,1,1,0,1.4,2.1
12,3,1,0,40.5,36.8
12,9,1,0,7.5,34.8
12,2,1,0,4.2,8.7
12,13,1,0,0.0,4.1
12,12,1,0,26.5,26.0
12,4,1,0,14.4,7.9
12,10,1,0,4.8,16.0
12,6,1,0,7.0,15.9
12,5,1,0,9.2,11.8
12,8,1,0,12.6,10.8
12,0,1,0,16.3,11.2
12,11,1,0,23.8,16.1
12,16,1,0,5.6,0.7
12,7,1,0,11.0,6.1
12,14,1,0,0.8,0.8
12,15,1,0,1.4,0.7
4,1,1,0,0.0,0.0
4,3,1,0,16.2,12.9
4,9,1,0,3.3,11.8
4,2,1,0,2.5,3.3
4,13,1,0,0.0,3.2
4,12,1,0,11.4,8.8
4,4,1,0,5.9,5.7
4,10,1,0,2.3,8.2
4,6,1,0,5.5,6.5
4,5,1,0,2.3,2.8
4,8,1,0,4.0,7.2
4,0,1,0,10.6,7.2
4,11,1,0,8.4,5.9
4,16,1,0,1.6,0.7
4,7,1,0,6.8,0.8
4,14,1,0,0.0,0.7
4,15,1,0,0.0,0.0
10,1,1,0,0.0,0.8
10,3,1,0,10.6,12.2
10,9,1,0,2.6,12.3
10,2,1,0,0.8,2.6
10,13,1,0,0.0,1.6
10,12,1,0,9.6,7.5
10,4,1,0,3.7,0.7
10,10,1,0,7.0,7.9
10,6,1,0,3.4,6.5
10,5,1,0,2.5,5.1
10,8,1,0,4.8,6.2
10,0,1,0,9.2,6.0
10,11,1,0,16.8,12.7
10,16,1,0,3.2,0.8
10,7,1,0,3.1,0.8
10,14,1,0,0.7,0.9
10,15,1,0,3.1,0.0
6,1,1,0,0.0,0.0
6,3,1,0,15.1,17.0
6,9,1,0,4.1,11.1
6,2,1,0,1.7,3.2
6,13,1,0,0.8,2.5
6,12,1,0,8.8,6.6
6,4,1,0,4.2,0.9
6,10,1,0,3.9,10.4
6,6,1,0,8.6,14.6
6,5,1,0,4.3,6.4
6,8,1,0,6.5,7.1
6,0,1,0,18.3,11.2
6,11,1,0,11.5,8.7
6,16,1,0,5.8,0.0
6,7,1,0,6.0,4.6
6,14,1,0,0.0,0.8
6,15,1,0,5.0,0.8
5,1,1,0,0.0,0.0
5,3,1,0,4.6,10.0
5,9,1,0,1.9,11.4
5,2,1,0,0.9,4.8
5,13,1,0,0.8,1.7
5,12,1,0,10.4,6.8
5,4,1,0,2.3,0.8
5,10,1,0,6.6,2.8
5,6,1,0,5.8,9.3
5,5,1,0,8.1,14.6
5,8,1,0,3.8,4.2
5,0,1,0,12.8,10.1
5,11,1,0,13.0,8.8
5,16,1,0,0.9,0.0
5,7,1,0,14.0,2.9
5,14,1,0,0.0,0.7
5,15,1,0,4.4,0.5
8,1,1,0,4.2,3.0
8,3,1,0,30.5,32.9
8,9,1,0,13.3,48.5
8,2,1,0,3.0,11.9
8,13,1,0,0.9,13.9
8,12,1,0,40.7,19.1
8,4,1,0,15.6,6.7
8,10,1,0,13.7,20.6
8,6,1,0,22.9,36.5
8,5,1,0,13.1,19.2
8,8,1,0,21.5,31.2
8,0,1,0,37.5,28.9
8,11,1,0,39.3,39.0
8,16,1,0,13.0,6.3
8,7,1,0,36.2,19.2
8,14,1,0,0.9,0.8
8,15,1,0,18.9,3.0
0,1,1,0,0.7,1.5
0,3,1,0,12.5,14.0
0,9,1,0,6.0,19.4
0,2,1,0,0.8,4.0
0,13,1,0,0.0,6.2
0,12,1,0,19.5,14.1
0,4,1,0,8.4,2.6
0,10,1,0,8.0,16.5
0,6,1,0,11.1,23.4
0,5,1,0,4.1,13.5
0,8,1,0,11.1,10.9
0,0,1,0,51.5,30.7
0,11,1,0,23.0,18.3
0,16,1,0,8.2,2.0
0,7,1,0,13.0,10.5
0,14,1,0,1.7,0.8
0,15,1,0,7.1,2.2
11,1,1,0,1.6,2.0
11,3,1,0,25.7,25.0
11,9,1,0,8.0,24.7
11,2,1,0,5.6,12.1
11,13,1,0,0.7,10.1
11,12,1,0,29.7,22.6
11,4,1,0,6.2,5.6
11,10,1,0,14.1,34.0
11,6,1,0,14.4,22.7
11,5,1,0,7.0,17.5
11,8,1,0,10.8,10.5
11,0,1,0,30.4,20.2
11,11,1,0,68.3,49.9
11,16,1,0,13.4,8.9
11,7,1,0,22.3,10.2
11,14,1,0,3.3,1.0
11,15,1,0,3.2,0.0
16,1,1,0,0.0,0.0
16,3,1,0,1.8,2.3
16,9,1,0,0.8,4.2
16,2,1,0,1.0,1.7
16,13,1,0,0.0,0.0
16,12,1,0,2.3,0.9
16,4,1,0,2.4,0.7
16,10,1,0,0.4,4.0
16,6,1,0,1.5,4.8
16,5,1,0,0.8,4.8
16,8,1,0,2.5,1.7
16,0,1,0,3.0,2.0
16,11,1,0,8.8,3.5
16,16,1,0,5.2,0.9
16,7,1,0,1.4,1.7
16,14,1,0,0.0,0.0
16,15,1,0,0.4,0.0
7,1,1,0,0.0,0.9
7,3,1,0,2.6,4.2
7,9,1,0,0.0,6.1
7,2,1,0,0.0,0.7
7,13,1,0,0.0,3.7
7,12,1,0,5.4,3.7
7,4,1,0,1.6,0.7
7,10,1,0,6.6,6.8
7,6,1,0,0.8,7.8
7,5,1,0,1.6,2.0
7,8,1,0,0.7,2.2
7,0,1,0,6.9,8.9
7,11,1,0,7.3,7.2
7,16,1,0,2.4,0.0
7,7,1,0,15.0,3.6
7,14,1,0,0.0,0.8
7,15,1,0,3.4,1.2
14,1,1,0,0.8,0.8
14,3,1,0,16.9,17.6
14,9,1,0,5.1,23.2
14,2,1,0,4.1,4.8
14,13,1,0,0.8,16.1
14,12,1,0,8.6,8.6
14,4,1,0,8.7,4.0
14,10,1,0,6.2,25.5
14,6,1,0,12.8,25.6
14,5,1,0,14.7,31.1
14,8,1,0,10.1,29.9
14,0,1,0,29.7,31.9
14,11,1,0,37.1,39.8
14,16,1,0,17.0,7.5
14,7,1,0,28.0,12.5
14,14,1,0,29.0,30.6
14,15,1,0,88.6,10.3
15,1,1,0,0.0,0.0
15,3,1,0,5.5,3.2
15,9,1,0,0.0,5.1
15,2,1,0,0.0,3.2
15,13,1,0,0.0,3.2
15,12,1,0,5.7,2.8
15,4,1,0,2.1,0.9
15,10,1,0,3.7,10.9
15,6,1,0,8.8,13.3
15,5,1,0,0.7,9.1
15,8,1,0,2.4,7.4
15,0,1,0,5.1,13.6
15,11,1,0,9.3,18.3
15,16,1,0,8.1,3.5
15,7,1,0,9.4,4.8
15,14,1,0,2.0,5.6
15,15,1,0,46.2,7.9
1,1,0,1,1.2,1.4
1,3,0,1,0.9,0.5
1,9,0,1,0.5,0.0
1,2,0,1,0.0,0.5
1,13,0,1,0.0,0.0
1,12,0,1,1.1,0.8
1,4,0,1,0.6,0.0
1,10,0,1,0.0,0.3
1,6,0,1,0.0,0.5
1,5,0,1,0.0,0.0
1,8,0,1,0.0,0.5
1,0,0,1,0.0,0.6
1,11,0,1,0.4,1.0
1,16,0,1,0.0,0.0
1,7,0,1,0.0,0.0
1,14,0,1,0.0,0.0
1,15,0,1,0.5,0.0
3,1,0,1,0.6,1.7
3,3,0,1,8.6,8.3
3,9,0,1,2.0,3.1
3,2,0,1,0.9,2.8
3,13,0,1,0.0,0.0
3,12,0,1,2.6,3.0
3,4,0,1,1.0,1.9
3,10,0,1,0.6,0.0
3,6,0,1,0.0,0.3
3,5,0,1,0.0,0.0
3,8,0,1,3.6,3.1
3,0,0,1,1.7,1.9
3,11,0,1,1.8,2.4
3,16,0,1,1.1,0.9
3,7,0,1,0.9,2.4
3,14,0,1,0.0,0.0
3,15,0,1,0.7,0.0
9,1,0,1,0.0,0.0
9,3,0,1,2.2,1.2
9,9,0,1,0.0,2.7
9,2,0,1,0.0,0.0
9,13,0,1,0.0,0.0
9,12,0,1,2.4,2.2
9,4,0,1,1.3,0.5
9,10,0,1,0.0,1.4
9,6,0,1,0.6,0.0
9,5,0,1,0.0,0.0
9,8,0,1,0.7,0.0
9,0,0,1,0.5,1.2
9,11,0,1,0.4,1.8
9,16,0,1,0.0,0.0
9,7,0,1,1.2,1.2
9,14,0,1,0.0,0.0
9,15,0,1,0.0,0.0
2,1,0,1,0.0,0.0
2,3,0,1,1.3,2.3
2,9,0,1,0.7,0.7
2,2,0,1,0.0,0.0
2,13,0,1,0.0,0.0
2,12,0,1,0.5,0.0
2,4,0,1,0.0,0.0
2,10,0,1,0.0,0.0
2,6,0,1,0.0,0.6
2,5,0,1,0.0,0.0
2,8,0,1,0.0,0.0
2,0,0,1,0.6,0.5
2,11,0,1,0.0,0.0
2,16,0,1,0.0,0.0
2,7,0,1,0.0,0.0
2,14,0,1,0.0,0.0
2,15,0,1,0.0,0.0
13,1,0,1,0.0,0.0
13,3,0,1,1.3,2.6
13,9,0,1,0.6,0.5
13,2,0,1,0.5,0.0
13,13,0,1,0.5,0.0
13,12,0,1,1.1,2.1
13,4,0,1,0.0,0.6
13,10,0,1,0.4,1.0
13,6,0,1,0.6,0.9
13,5,0,1,0.9,0.5
13,8,0,1,2.0,2.2
13,0,0,1,0.8,2.7
13,11,0,1,2.9,0.0
13,16,0,1,0.0,0.0
13,7,0,1,0.4,0.8
13,14,0,1,0.0,0.0
13,15,0,1,0.0,0.0
12,1,0,1,0.4,0.0
12,3,0,1,3.6,5.5
12,9,0,1,0.6,2.1
12,2,0,1,0.0,0.0
12,13,0,1,0.0,0.0
12,12,0,1,6.3,5.8
12,4,0,1,0.4,0.0
12,10,0,1,1.3,2.5
12,6,0,1,2.9,2.8
12,5,0,1,0.0,0.6
12,8,0,1,4.3,3.1
12,0,0,1,2.9,2.0
12,11,0,1,5.7,10.5
12,16,0,1,1.8,1.3
12,7,0,1,0.0,1.6
12,14,0,1,0.0,0.0
12,15,0,1,0.9,0.6
4,1,0,1,0.0,0.0
4,3,0,1,0.0,0.4
4,9,0,1,0.0,0.0
4,2,0,1,0.0,0.0
4,13,0,1,0.0,1.1
4,12,0,1,0.5,0.9
4,4,0,1,0.6,0.0
4,10,0,1,0.0,0.0
4,6,0,1,0.5,0.0
4,5,0,1,0.0,0.0
4,8,0,1,0.0,1.4
4,0,0,1,0.5,0.0
4,11,0,1,0.8,0.0
4,16,0,1,0.0,0.0
4,7,0,1,1.4,0.8
4,14,0,1,0.0,0.0
4,15,0,1,0.0,0.0
10,1,0,1,0.0,0.3
10,3,0,1,3.2,4.3
10,9,0,1,0.0,1.4
10,2,0,1,0.8,0.0
10,13,0,1,0.0,0.0
10,12,0,1,6.5,5.1
10,4,0,1,1.9,0.6
10,10,0,1,1.5,3.7
10,6,0,1,0.6,1.9
10,5,0,1,1.0,0.0
10,8,0,1,2.7,4.5
10,0,0,1,2.0,5.2
10,11,0,1,7.5,8.5
10,16,0,1,3.7,1.3
10,7,0,1,5.2,2.6
10,14,0,1,0.0,0.0
10,15,0,1,0.0,0.0
6,1,0,1,0.0,0.5
6,3,0,1,5.1,6.1
6,9,0,1,2.2,2.3
6,2,0,1,1.0,0.5
6,13,0,1,0.6,0.0
6,12,0,1,6.8,7.5
6,4,0,1,1.0,2.3
6,10,0,1,1.5,2.0
6,6,0,1,2.6,3.4
6,5,0,1,1.1,3.2
6,8,0,1,5.1,11.1
6,0,0,1,8.4,7.2
6,11,0,1,9.3,9.8
6,16,0,1,3.5,2.2
6,7,0,1,4.0,5.6
6,14,0,1,0.0,0.0
6,15,0,1,2.1,0.4
5,1,0,1,0.5,0.0
5,3,0,1,4.1,5.0
5,9,0,1,3.0,3.1
5,2,0,1,1.1,1.9
5,13,0,1,0.0,0.4
5,12,0,1,5.2,5.8
5,4,0,1,0.0,0.4
5,10,0,1,1.1,2.5
5,6,0,1,0.0,3.3
5,5,0,1,6.7,4.0
5,8,0,1,4.2,4.9
5,0,0,1,8.3,4.8
5,11,0,1,10.5,8.7
5,16,0,1,4.0,4.7
5,7,0,1,6.2,6.2
5,14,0,1,0.0,0.0
5,15,0,1,1.4,0.0
8,1,0,1,0.5,0.5
8,3,0,1,6.4,11.4
8,9,0,1,1.6,4.1
8,2,0,1,0.4,1.2
8,13,0,1,0.0,1.5
8,12,0,1,10.2,11.1
8,4,0,1,0.9,0.0
8,10,0,1,1.0,2.9
8,6,0,1,5.4,3.7
8,5,0,1,2.7,1.4
8,8,0,1,13.7,12.3
8,0,0,1,10.8,12.2
8,11,0,1,11.3,14.7
8,16,0,1,3.7,3.3
8,7,0,1,10.4,3.1
8,14,0,1,0.0,0.0
8,15,0,1,2.0,1.4
0,1,0,1,0.0,1.6
0,3,0,1,8.7,7.8
0,9,0,1,2.1,3.3
0,2,0,1,1.8,0.0
0,13,0,1,0.5,2.3
0,12,0,1,11.3,10.4
0,4,0,1,2.8,1.1
0,10,0,1,3.9,5.2
0,6,0,1,5.0,7.3
0,5,0,1,2.2,3.4
0,8,0,1,13.0,12.5
0,0,0,1,20.4,17.7
0,11,0,1,13.2,15.0
0,16,0,1,3.5,3.7
0,7,0,1,10.5,10.2
0,14,0,1,0.0,0.0
0,15,0,1,3.9,1.0
11,1,0,1,0.0,0.0
11,3,0,1,4.2,8.3
11,9,0,1,1.1,3.2
11,2,0,1,2.6,0.0
11,13,0,1,0.0,0.0
11,12,0,1,9.6,13.9
11,4,0,1,3.3,2.4
11,10,0,1,3.4,8.1
11,6,0,1,3.9,7.0
11,5,0,1,0.8,1.4
11,8,0,1,15.4,13.5
11,0,0,1,11.9,11.9
11,11,0,1,20.6,24.1
11,16,0,1,11.4,7.3
11,7,0,1,12.3,6.7
11,14,0,1,0.0,0.0
11,15,0,1,1.5,0.4
16,1,0,1,0.0,0.0
16,3,0,1,6.3,6.1
16,9,0,1,1.1,2.7
16,2,0,1,0.5,0.0
16,13,0,1,0.0,1.9
16,12,0,1,7.8,7.0
16,4,0,1,0.8,1.1
16,10,0,1,1.0,4.0
16,6,0,1,1.4,5.1
16,5,0,1,1.0,2.8
16,8,0,1,12.9,12.2
16,0,0,1,9.4,13.8
16,11,0,1,14.0,20.2
16,16,0,1,15.2,6.5
16,7,0,1,11.3,12.2
16,14,0,1,0.5,0.0
16,15,0,1,6.0,1.6
7,1,0,1,0.0,0.4
7,3,0,1,7.1,9.4
7,9,0,1,0.0,3.7
7,2,0,1,0.7,1.0
7,13,0,1,0.0,1.4
7,12,0,1,11.4,16.0
7,4,0,1,0.8,0.9
7,10,0,1,3.8,6.9
7,6,0,1,4.7,7.4
7,5,0,1,2.6,2.3
7,8,0,1,18.1,11.6
7,0,0,1,14.6,19.4
7,11,0,1,18.4,28.8
7,16,0,1,11.2,6.8
7,7,0,1,28.9,21.5
7,14,0,1,0.7,0.0
7,15,0,1,7.6,2.0
14,1,0,1,0.0,0.0
14,3,0,1,7.5,10.6
14,9,0,1,1.4,4.9
14,2,0,1,0.0,1.8
14,13,0,1,0.4,3.2
14,12,0,1,12.2,16.9
14,4,0,1,2.6,3.1
14,10,0,1,7.2,16.9
14,6,0,1,8.7,17.0
14,5,0,1,8.8,17.1
14,8,0,1,20.9,31.6
14,0,0,1,28.1,39.2
14,11,0,1,41.7,71.1
14,16,0,1,31.8,20.0
14,7,0,1,42.1,55.2
14,14,0,1,33.1,13.0
14,15,0,1,98.4,16.4
15,1,0,1,0.0,0.5
15,3,0,1,2.9,4.9
15,9,0,1,0.9,2.7
15,2,0,1,0.0,0.5
15,13,0,1,0.0,1.6
15,12,0,1,2.4,8.7
15,4,0,1,3.8,0.0
15,10,0,1,3.1,13.5
15,6,0,1,2.8,8.3
15,5,0,1,3.0,9.0
15,8,0,1,11.2,15.9
15,0,0,1,16.0,18.8
15,11,0,1,14.2,26.6
15,16,0,1,12.3,4.1
15,7,0,1,20.6,19.0
15,14,0,1,3.3,2.5
15,15,0,1,49.0,9.0
1,1,1,1,0.0,0.0
