city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
4,26,1,1,0,4,0,1,390,1650,120,22,2182
4,44,1,1,0,3,1,0,400,1100,14,15,1529
2,70,2,2,0,0,1,1,0,1880,0,29,1909
1,40,1,1,0,0,0,1,0,900,0,15,915
1,320,4,2,4,0,1,1,0,3200,206,53,3459
2,213,2,2,3,0,1,1,0,5150,0,78,5228
2,80,2,1,0,1,0,1,0,1100,0,14,1114
3,70,1,1,0,6,1,1,500,800,30,11,1341
4,60,2,1,1,5,1,1,690,1500,25,20,2235
2,270,4,4,4,5,1,1,4500,12850,1834,163,19350
4,70,2,1,1,3,1,1,800,1300,44,17,2161
0,300,6,2,2,0,1,1,0,6000,242,107,6349
2,220,4,5,3,14,1,0,2050,12000,750,153,14950
0,64,2,2,2,7,1,1,450,1600,34,24,2108
4,80,3,3,1,7,0,1,1100,1470,0,19,2589
2,56,1,1,0,9,1,0,625,2500,81,32,3238
2,161,4,3,2,1,1,1,1450,10000,467,127,12040
2,35,1,1,0,0,1,1,350,1350,0,18,1718
2,720,4,6,5,0,1,0,0,12750,2613,192,15560
2,280,4,5,4,6,0,1,2500,3200,750,41,6491
0,96,3,2,0,2,1,1,408,2100,84,31,2623
3,236,3,4,4,10,1,1,1600,11000,440,140,13180
2,81,3,2,1,4,1,1,204,1510,0,20,1734
2,62,2,1,1,1,1,1,580,1650,92,21,2343
1,125,3,2,0,2,1,1,150,1200,69,16,1435
2,37,1,1,1,6,1,0,890,4150,110,53,5203
2,60,2,2,1,11,1,1,1680,4000,200,51,5931
2,230,4,2,3,1,1,1,3600,5000,1551,64,10220
2,210,4,5,2,1,1,0,3800,8500,0,108,12410
2,450,4,3,8,0,1,1,0,14000,175,211,14390
2,234,3,5,4,0,1,0,0,3680,400,56,4136
1,135,4,3,2,2,0,1,868,2450,308,33,3659
2,395,4,5,3,0,1,1,0,6000,122,91,6213
0,92,2,2,1,2,1,1,450,1700,67,25,2242
2,412,3,5,6,21,1,1,2000,3952,459,51,6462
2,42,1,1,1,27,1,1,560,5300,100,68,6028
2,33,1,1,0,12,0,0,385,3000,125,39,3549
0,28,2,1,1,0,1,1,0,600,0,11,611
2,190,4,4,2,0,0,1,0,4450,223,67,4740
2,165,4,3,3,10,1,0,2440,6300,1292,80,10110
0,44,1,1,0,5,1,1,355,1200,20,18,1593
2,60,2,1,1,4,1,1,603,1275,109,17,2004
2,380,3,3,2,1,1,1,3580,11000,1084,140,15800
4,73,2,1,0,4,1,1,375,830,120,11,1336
1,19,1,1,0,5,1,1,620,1100,85,15,1820
3,230,3,5,4,6,1,1,1800,7500,0,96,9396
0,37,1,1,1,2,1,1,500,2500,0,37,3037
2,124,3,2,3,7,1,1,1450,6600,300,84,8434
4,115,3,2,1,8,1,0,1090,2680,114,35,3919
3,600,3,3,4,0,1,1,0,5500,384,83,5967
4,700,5,5,4,0,1,0,1380,15000,1667,229,18280
0,35,1,1,0,1,1,1,100,815,17,12,944
1,15,1,1,0,3,0,0,0,1100,0,15,1115
3,80,3,2,1,2,1,1,570,1450,125,19,2164
0,48,1,1,0,4,1,1,200,700,38,11,949
1,96,3,2,1,2,1,1,922,1500,137,20,2579
2,150,3,2,1,7,1,0,1843,6715,340,86,8984
1,105,3,2,2,2,0,1,1681,3300,390,44,5415
1,204,4,4,4,22,0,0,2701,10000,760,134,13600
4,125,3,1,2,11,1,1,1317,2600,170,33,4120
4,50,2,1,0,3,0,1,490,2300,50,30,2870
2,250,3,4,3,0,0,1,0,3740,234,57,4031
2,300,3,4,3,7,1,0,3000,2000,1250,26,6276
2,80,2,1,1,0,1,1,0,1500,55,23,1578
4,130,3,4,1,2,0,1,1200,1400,334,19,2953
2,120,2,3,0,2,1,1,904,3300,195,42,4441
2,540,3,3,4,9,1,1,6200,15000,3500,191,24890
2,23,1,1,0,23,1,1,392,2100,41,27,2560
2,15,1,1,0,0,0,0,0,2500,0,32,2532
2,72,1,2,2,19,1,1,900,4000,200,51,5151
4,95,3,2,2,7,1,1,985,2300,122,30,3437
2,330,4,5,4,13,1,1,2870,10000,1119,127,14120
2,75,2,2,2,7,0,0,1600,6600,400,84,8684
2,53,1,1,1,4,1,1,690,4398,200,56,5344
2,178,3,2,1,2,0,1,1200,1900,180,25,3305
2,150,3,2,0,0,1,1,0,4000,24,61,4085
2,50,2,1,1,4,1,1,520,1200,30,16,1766
2,150,3,2,1,0,0,1,0,2500,59,38,2597
0,25,1,1,0,0,1,0,286,984,11,15,1296
2,210,3,4,4,13,0,1,3150,12000,1155,153,16460
1,75,3,2,1,4,1,1,600,1500,75,20,2195
1,200,2,4,3,12,1,1,1897,15000,827,200,17920
2,350,4,4,0,0,1,1,0,8000,989,121,9110
0,49,2,1,1,7,1,1,360,1150,30,17,1557
0,40,1,1,0,4,0,0,0,2000,0,30,2030
2,45,1,1,1,2,0,0,1900,4200,350,54,6504
2,46,1,1,1,8,0,0,900,7600,118,97,8715
2,80,2,2,2,15,1,1,2000,11000,0,140,13140
2,30,1,1,0,3,1,0,400,2850,0,37,3287
2,80,2,2,2,0,1,1,50,2200,173,34,2457
4,105,2,2,1,10,1,1,1780,1530,134,20,3464
1,105,3,2,2,7,1,1,1170,2000,219,27,3416
2,114,3,1,0,0,1,1,0,2570,150,39,2759
2,200,3,3,4,0,1,1,0,7000,425,106,7531
0,120,3,3,2,5,1,1,800,3000,167,44,4011
2,60,2,2,1,11,1,1,647,4000,21,51,4719
2,90,2,1,1,1,1,1,1000,3000,50,39,4089
4,53,2,1,0,3,0,1,535,1800,50,24,2409
2,80,2,2,5,0,1,1,0,3000,59,46,3105
3,87,4,2,2,4,1,1,784,1600,106,21,2511
4,110,3,1,1,1,1,1,557,5000,188,65,5810
1,113,4,2,1,3,1,1,1587,4000,429,54,6070
2,170,3,2,2,5,0,1,2199,5000,423,64,7686
2,150,3,2,0,1,0,1,700,3000,42,39,3781
0,60,2,2,1,11,1,1,469,1500,51,22,2042
0,43,1,1,0,4,0,0,290,2100,66,31,2487
2,130,3,2,2,4,1,0,800,3500,0,45,4345
2,69,3,2,0,7,1,0,650,1900,185,25,2760
3,306,3,2,2,0,1,1,0,2500,422,38,2960
2,187,3,2,3,0,1,1,500,3500,193,53,4246
2,385,3,4,3,0,1,1,0,9000,1500,136,10640
2,355,4,4,3,0,1,1,0,7300,660,110,8070
0,90,2,1,1,2,1,1,405,1100,380,17,1902
2,190,3,4,4,0,1,1,0,5000,275,76,5351
3,181,2,1,2,0,1,1,0,1400,132,22,1554
2,350,3,5,4,13,1,1,4000,3490,1750,45,9285
1,168,5,3,2,2,1,1,1443,2900,408,39,4790
4,73,2,1,0,1,1,1,1600,2800,204,37,4641
2,378,5,5,4,4,1,1,4000,3000,2000,39,9039
3,60,2,1,1,0,1,1,0,1300,180,20,1500
1,362,4,5,0,19,0,1,4138,15000,1975,200,21310
2,90,3,2,0,0,1,1,0,1700,136,26,1862
4,42,1,1,0,4,0,0,500,1973,79,26,2578
4,56,2,1,1,18,1,1,568,1000,88,13,1669
2,16,1,1,0,1,0,1,0,850,30,11,891
2,90,2,2,2,15,0,0,1400,10000,0,127,11530
1,67,1,1,0,13,1,1,375,850,55,12,1292
2,488,4,3,3,0,1,1,14130,6400,1214,82,21820
4,30,1,1,0,10,1,1,850,1100,60,15,2025
2,290,6,3,4,0,1,1,0,8000,1525,121,9646
2,266,3,3,4,10,1,1,4700,6400,1500,82,12680
3,47,2,1,1,4,1,1,260,900,25,12,1197
4,590,6,6,2,0,1,0,750,8000,975,122,9847
2,900,4,9,8,1,1,1,0,15000,5700,226,20930
2,86,2,1,1,0,1,1,0,2200,110,34,2344
2,290,3,3,2,0,1,0,0,15000,1000,226,16230
0,84,3,2,2,4,1,1,750,3300,100,49,4199
2,160,3,1,2,0,1,1,0,5000,225,76,5301
2,37,1,1,0,3,0,0,470,3500,127,45,4142
3,73,3,1,1,4,1,1,308,850,46,11,1215
2,350,4,5,5,17,1,0,2400,15000,2400,191,19990
4,57,1,1,0,2,1,1,200,1100,10,15,1325
3,48,1,1,0,9,1,1,350,650,21,9,1030
4,30,1,1,0,8,1,1,390,800,25,11,1226
3,198,6,3,4,0,1,1,0,2000,145,31,2176
0,47,1,1,0,2,0,1,300,1000,59,15,1374
0,60,2,1,1,3,1,1,250,800,22,12,1084
2,230,3,3,0,9,1,0,1700,5000,109,64,6873
1,90,2,1,1,0,0,1,0,1520,0,25,1545
4,129,3,2,1,8,1,0,1200,3255,167,42,4664
2,240,4,4,4,22,1,1,1980,6672,417,85,9154
0,55,1,1,0,14,1,1,700,1020,29,15,1764
0,52,1,1,0,0,1,1,150,1200,42,18,1410
2,250,3,4,3,8,1,1,1610,6000,1089,77,8776
2,200,3,2,2,19,1,1,2573,10000,1121,127,13820
1,312,4,3,3,1,1,1,1498,2300,463,31,4292
2,230,5,5,3,0,1,1,0,9900,620,149,10670
2,72,2,2,2,9,1,1,750,2480,209,32,3471
2,55,2,1,0,5,1,0,620,2400,24,31,3075
4,72,2,2,1,2,0,0,914,3600,133,47,4694
2,50,2,1,0,0,1,1,0,1200,83,19,1302
2,17,1,1,0,1,1,1,0,2700,5,35,2740
1,160,3,3,2,4,1,1,150,2400,263,32,2845
2,214,4,4,3,5,1,1,2638,6520,1187,83,10430
4,65,1,1,0,0,1,1,300,1800,30,24,2154
2,136,3,2,1,10,0,0,1300,6500,267,47,8114
0,70,2,2,1,6,1,1,440,1900,57,28,2425
0,38,1,1,0,2,1,1,340,650,350,10,1350
2,450,8,5,5,0,1,1,0,8000,1000,121,9121
4,67,2,1,1,2,1,1,1217,2200,130,29,3576
2,20,1,1,0,1,0,1,0,1100,35,14,1149
2,41,1,1,0,12,1,1,290,1530,60,20,1900
2,50,2,1,1,7,1,1,500,1550,7,20,2077
2,205,3,3,3,0,1,1,0,5525,575,84,6184
2,100,3,2,1,0,1,1,0,3300,500,50,3850
2,190,3,4,4,16,1,0,2849,15000,1160,191,19200
1,45,2,1,0,0,1,1,0,1350,0,23,1373
3,57,1,1,1,2,1,1,605,800,66,11,1482
0,88,1,2,2,3,1,1,340,1600,40,24,2004
2,70,1,1,1,10,1,0,459,3400,80,44,3983
2,76,2,2,0,11,1,0,646,2800,0,36,3482
4,36,1,1,0,10,1,1,450,1370,29,18,1867
0,61,2,2,2,11,1,1,445,2500,42,37,3024
2,280,4,3,6,0,1,0,0,12500,706,188,13390
2,480,5,6,3,0,1,1,0,5000,1000,76,6076
3,45,1,1,1,17,1,0,0,1950,0,25,1975
2,42,1,1,0,9,1,0,1290,1500,184,20,2994
0,62,2,1,0,4,1,1,352,736,28,11,1127
2,38,2,1,0,2,1,1,90,1500,0,20,1610
2,44,1,1,1,8,0,0,578,2400,0,31,3009
2,75,3,2,2,11,1,1,630,2800,167,36,3633
4,66,2,1,1,2,1,1,650,1250,0,17,1917
2,125,3,3,2,0,1,1,0,2800,38,43,2881
3,62,2,1,2,7,1,1,609,1500,90,20,2219
2,77,2,1,1,5,1,1,1148,3100,464,40,4752
2,136,2,4,2,7,1,1,1540,4800,242,61,6643
2,200,4,2,1,5,1,1,2115,5000,328,64,7507
2,35,1,1,0,1,0,1,250,1305,0,17,1572
2,250,4,3,2,0,1,0,10,4500,100,68,4678
2,90,2,2,2,0,1,0,0,4100,0,62,4162
